-3.00E-05,0.25699
0.00044,0.15385
0.00143,0.04113
0.00177,0.05071
0.00207,0.36015
0.0034,0.31501
0.00507,0.22696
0.00994,-0.04539
0.01171,-0.10418
0.01446,-0.0943
0.02007,-0.19217
0.02202,-0.21605
0.02724,-0.2568
0.03364,-0.34242
0.03942,-0.41067
0.0436,-0.45249
0.05341,-0.5311
0.06497,-0.61668
0.07059,-0.65826
0.08269,-0.73544
0.09241,-0.77838
0.1037,-0.8192
0.12278,-0.88934
0.12815,-0.90645
0.14747,-0.95096
0.16255,-0.99326
0.16817,-1.00472
0.1852,-1.03495
0.20105,-1.06898
0.2011,-1.06907
0.22772,-1.10129
0.24581,-1.1114
0.27326,-1.11914
0.30128,-1.11775
0.31544,-1.11224
0.34969,-1.08501
0.36357,-1.07053
0.37203,-1.05898
0.38569,-1.02859
0.39773,-0.99822
0.40383,-0.9723
0.4151,-0.95185
0.42289,-0.94031
0.42855,-0.93303
0.45656,-0.90475
0.47232,-0.89337
0.48026,-0.88036
0.48428,-0.8137
0.48902,-0.72556
0.49331,-0.65724
0.49878,-0.6104
0.50431,-0.57787
0.52492,-0.52762
0.54216,-0.48013
0.55191,-0.45364
0.5859,-0.37135
0.60233,-0.33181
0.62498,-0.27912
0.65434,-0.2172
0.6676,-0.19071
0.69898,-0.12882
0.72201,-0.08166
0.73035,-0.06583
0.76494,-0.00796
0.77333,0.00441
0.79108,0.0276
0.8075,0.0465
0.8178,0.05833
0.84413,0.08475
0.84915,0.08895
0.88884,0.11927
0.88943,0.11976
0.90589,0.12869
0.93517,0.12642
0.95029,0.12404
0.95769,0.12194
0.96956,0.11316
0.97912,0.10469
0.98776,0.09732
0.99842,0.07372
1.0018,0.03025
1.00307,0.00326
-3.00E-05,0.43554
0.00044,0.41107
0.00143,0.36059
0.00177,0.34291
0.00207,0.32753
0.0034,0.25833
0.00507,0.22163
0.00994,0.18883
0.01171,0.17884
0.01446,0.16466
0.02007,0.13984
0.02202,0.13215
0.02724,0.11392
0.03364,0.09646
0.03942,0.08375
0.0436,0.07566
0.05341,0.05846
0.06497,0.04
0.07059,0.03153
0.08269,0.01479
0.09241,0.00414
0.1037,-0.00552
0.12278,-0.01619
0.12815,-0.01823
0.14747,-0.02418
0.16255,-0.02872
0.16817,-0.03073
0.1852,-0.03887
0.20105,-0.04578
0.2011,-0.0458
0.22772,-0.05067
0.24581,-0.05379
0.27326,-0.0607
0.30128,-0.06607
0.31544,-0.06693
0.34969,-0.06685
0.36357,-0.06739
0.37203,-0.06819
0.38569,-0.07017
0.39773,-0.0724
0.40383,-0.07363
0.4151,-0.07595
0.42289,-0.07746
0.42855,-0.07845
0.45656,-0.08197
0.47232,-0.08367
0.48026,-0.08461
0.48428,-0.0851
0.48902,-0.08569
0.49331,-0.08623
0.49878,-0.08693
0.50431,-0.08764
0.52492,-0.09026
0.54216,-0.09236
0.55191,-0.09348
0.5859,-0.09709
0.60233,-0.09893
0.62498,-0.10193
0.65434,-0.10556
0.6676,-0.10687
0.69898,-0.10904
0.72201,-0.10946
0.73035,-0.10916
0.76494,-0.10392
0.77333,-0.10168
0.79108,-0.09106
0.8075,-0.07185
0.8178,-0.0629
0.84413,-0.06038
0.84915,-0.0605
0.88884,-0.05235
0.88943,-0.05219
0.90589,-0.04763
0.93517,-0.03935
0.95029,-0.03435
0.95769,-0.03133
0.96956,-0.02587
0.97912,-0.02025
0.98776,-0.01373
0.99842,-0.00439
1.0018,-0.0013
1.00307,-0.00013
